word,freq
tool,6.342980447973553e-05
toy,2.6270478891535823e-05
animal,6.104610724739178e-05
fly,2.7592204009104148e-05
swim,8.526716272498739e-06
pair,2.540393499839191e-05
summer,6.547160379672008e-05
wall,5.798604314186998e-05
peel,3.718300575624598e-06
shelves,4.44966749300406e-06
noise,2.455977847466793e-05
cold,3.98412368263943e-05
dangerous,1.6498862913574058e-05
decorative,8.463851134163774e-06
edible,2.013466049580529e-06
electricity,1.5003829602795196e-05
expensive,1.7406458285513978e-05
fast,9.16584195910386e-05
fun,0.00010575544511222291
held,7.425141393946471e-05
hard,0.0001268939983786288
heavy,3.6752706758666073e-05
large,0.00016183278865379694
loud,8.443381985196209e-06
sharp,2.429895415648505e-05
shiny,3.1150826879676695e-06
slimy,3.382605166580614e-07
smelly,7.767553696804389e-07
smooth,1.818071684637569e-05
tall,1.3975589287347986e-05
water,0.00020994902166392778
gasoline,6.0290654271982214e-06
eat,2.8526845704004213e-05
cook,2.3818795086902635e-05
clean,4.427884275213886e-05
children,0.00020151862718251665
hold,6.222759347276285e-05
kill,2.424700023855641e-05
music,0.00040396672584112507
transportation,5.1831799682547116e-05
warmth,3.031909390682759e-06
feet,5.5758004718320234e-05
hot,0.00015541603487174304
light,0.00012362046053404594
squishy,2.1220435716458632e-07
unhealthy,1.1559551599707081e-06
wet,2.3337009530293723e-05
words,8.87007607478763e-05
made,0.0002803695025086527
fragile,2.7828119756621458e-06
